,namespace,user_id,id
8145,abdiasmartins,edu.lorena.de.sme,541471
8146,antaresjardins,danilo.suporte,280854
8147,antoniairene,edu.lorena.de.sme,541472
8148,nsfatima,edu.lorena.de.sme,541473
8149,franciscoperes,edu.lorena.de.sme,541474
8150,joaoferreira,edu.lorena.de.sme,541475
8151,moaciralves,edu.lorena.de.sme,541476
8152,senhorbonfim,edu.maria.celina.sme,541574
8153,antoniomelo,edu.lorena.de.sme,541477
8154,murilorocha,edu.maria.celina.sme,541575
8155,valdemiracoelho,edu.lorena.de.sme,541478
8156,eldapereira,edu.maria.celina.sme,541576
8157,monsenhorfrancisco,edu.lorena.de.sme,541479
8158,joaorosa,edu.maria.celina.sme,541577
8159,luizgonzaga,edu.maria.celina.sme,541578
8160,joaobelem,edu.lorena.de.sme,541480
8161,abiliomartins,edu.maria.celina.sme,541579
8162,monsenhorgoncalo,edu.marcia.cristina.sme,541481
8163,conradochaves,edu.maria.celina.sme,541580
8164,melquiadescamelo,edu.maria.celina.sme,541581
8165,iracemarufino,edu.marcia.cristina.sme,541482
8166,guilhermefilho,edu.maria.celina.sme,541582
8167,criancaesperanca,edu.maria.celina.sme,541583
8168,marialaura,edu.marcia.cristina.sme,541483
8169,pedrocamelo,edu.maria.celina.sme,541584
8170,colegioriobranco,sas.admin,527961
8171,joaosampaio,edu.maria.celina.sme,541585
8172,mariaolinda,edu.maria.celina.sme,541586
8173,goncalomartins,edu.marcia.cristina.sme,541484
8174,abdiasmartins,edu.maria.celina.sme,541587
8175,antoniairene,edu.maria.celina.sme,541588
8176,mariaeunice,edu.marcia.cristina.sme,541485
8177,nsfatima,edu.maria.celina.sme,541589
8178,franciscoperes,edu.maria.celina.sme,541590
8179,joaoferreira,edu.maria.celina.sme,541591
8180,moaciralves,edu.maria.celina.sme,541592
8181,antoniomelo,edu.maria.celina.sme,541593
8182,antoniolima,edu.marcia.cristina.sme,541486
8183,valdemiracoelho,edu.maria.celina.sme,541594
8184,monsenhorfrancisco,edu.maria.celina.sme,541595
8185,senhorbonfim,edu.marcia.cristina.sme,541487
8186,joaobelem,edu.maria.celina.sme,541596
8187,murilorocha,edu.marcia.cristina.sme,541488
8188,monsenhorgoncalo,edu.maria.cleide.sme,541597
8189,eldapereira,edu.marcia.cristina.sme,541489
8190,iracemarufino,edu.maria.cleide.sme,541598
8191,joaorosa,edu.marcia.cristina.sme,541490
8192,marialaura,edu.maria.cleide.sme,541599
8193,goncalomartins,edu.maria.cleide.sme,541600
8194,luizgonzaga,edu.marcia.cristina.sme,541491
8195,mariaeunice,edu.maria.cleide.sme,541601
8196,abiliomartins,edu.marcia.cristina.sme,541492
8197,antoniolima,edu.maria.cleide.sme,541602
8198,senhorbonfim,edu.maria.cleide.sme,541603
8199,conradochaves,edu.marcia.cristina.sme,541493
8200,murilorocha,edu.maria.cleide.sme,541604
8201,melquiadescamelo,edu.marcia.cristina.sme,541494
8202,eldapereira,edu.maria.cleide.sme,541605
8203,guilhermefilho,edu.marcia.cristina.sme,541495
8204,criancaesperanca,edu.marcia.cristina.sme,541496
8205,colegiointegral,ednacachoeira,528228
8206,pedrocamelo,edu.marcia.cristina.sme,541497
8207,sonhodecrianca,renato.carneiro,528214
8208,joaosampaio,edu.marcia.cristina.sme,541498
8209,physicsumarizal,Rayane.goncalves,528217
8210,colegiointegral,jeanealmeida,528229
8211,villalobos,eduqo.teste1,545186
8212,joaorosa,edu.maria.cleide.sme,541606
8213,luizgonzaga,edu.maria.cleide.sme,541607
8214,mariaolinda,edu.marcia.cristina.sme,541499
8215,abiliomartins,edu.maria.cleide.sme,541608
8216,abdiasmartins,edu.marcia.cristina.sme,541500
8217,sas,medio,528227
8218,escolavida,master.caroline.cartaxo,528232
8219,conradochaves,edu.maria.cleide.sme,541609
8220,antoniairene,edu.marcia.cristina.sme,541501
8221,melquiadescamelo,edu.maria.cleide.sme,541610
8222,nsfatima,edu.marcia.cristina.sme,541502
8223,guilhermefilho,edu.maria.cleide.sme,541611
8224,criancaesperanca,edu.maria.cleide.sme,541612
8225,franciscoperes,edu.marcia.cristina.sme,541503
8226,pedrocamelo,edu.maria.cleide.sme,541613
8227,joaoferreira,edu.marcia.cristina.sme,541504
8228,joaosampaio,edu.maria.cleide.sme,541614
8229,moaciralves,edu.marcia.cristina.sme,541505
8230,mariaolinda,edu.maria.cleide.sme,541615
8231,antoniomelo,edu.marcia.cristina.sme,541506
8232,abdiasmartins,edu.maria.cleide.sme,541616
8233,antoniairene,edu.maria.cleide.sme,541617
8234,valdemiracoelho,edu.marcia.cristina.sme,541507
8235,monsenhorfrancisco,edu.marcia.cristina.sme,541508
8236,joaobelem,edu.marcia.cristina.sme,541509
8237,sasadaptrelatorios,sas.adapt,528106
8238,colegiointegral,patriciarocha2,250166
8239,nsfatima,edu.maria.cleide.sme,541618
8240,franciscoperes,edu.maria.cleide.sme,541619
8241,apogeustoantonio2,kerisson,528115
8242,joaoferreira,edu.maria.cleide.sme,541620
8243,novotempo,jonasstanley,506357
8244,moaciralves,edu.maria.cleide.sme,541621
8245,colegiojoaopaulo,jonasstanley,371186
8246,antoniomelo,edu.maria.cleide.sme,541622
8247,contemporaneo,jonasstanley,392711
8248,colegioprimeiromundo,jonasstanley,528186
8249,valdemiracoelho,edu.maria.cleide.sme,541623
8250,monsenhorfrancisco,edu.maria.cleide.sme,541624
8251,monsenhorgoncalo,edu.margarida.margarete.sme,541510
8252,acessosantafelicidade,pedro.paiva,461766
8253,joaobelem,edu.maria.cleide.sme,541625
8254,monsenhorgoncalo,edu.maria.das.sme,541626
8255,iracemarufino,edu.maria.das.sme,541627
8256,nsconceicao,eduadm.maria.do,564694
8257,iracemarufino,edu.margarida.margarete.sme,541511
8258,marialaura,edu.maria.das.sme,541628
8259,goncalomartins,edu.maria.das.sme,541629
8260,marialaura,edu.margarida.margarete.sme,541512
8261,goncalomartins,edu.margarida.margarete.sme,541513
8262,mariaeunice,edu.margarida.margarete.sme,541514
8263,antoniolima,edu.margarida.margarete.sme,541515
8264,djanirapereira,eduadm.maria.do,564698
8265,senhorbonfim,edu.margarida.margarete.sme,541516
8266,mariaeunice,edu.maria.das.sme,541630
8267,murilorocha,edu.margarida.margarete.sme,541517
8268,antoniolima,edu.maria.das.sme,541631
8269,eldapereira,edu.margarida.margarete.sme,541518
8270,senhorbonfim,edu.maria.das.sme,541632
8271,joaorosa,edu.margarida.margarete.sme,541519
8272,murilorocha,edu.maria.das.sme,541633
8273,luizgonzaga,edu.margarida.margarete.sme,541520
8274,abiliomartins,edu.margarida.margarete.sme,541521
8275,josemariano,eduadm.maria.do,564700
8276,apogeustoantonio2,juliacmpa,564548
8277,eldapereira,edu.maria.das.sme,541634
8278,conradochaves,edu.margarida.margarete.sme,541522
8279,joaorosa,edu.maria.das.sme,541635
8280,luizgonzaga,edu.maria.das.sme,541636
8281,abiliomartins,edu.maria.das.sme,541637
8282,melquiadescamelo,edu.margarida.margarete.sme,541523
8283,conradochaves,edu.maria.das.sme,541638
8284,guilhermefilho,edu.margarida.margarete.sme,541524
8285,melquiadescamelo,edu.maria.das.sme,541639
8286,criancaesperanca,edu.margarida.margarete.sme,541525
8287,guilhermefilho,edu.maria.das.sme,541640
8288,criancaesperanca,edu.maria.das.sme,541641
8289,pedrocamelo,edu.margarida.margarete.sme,541526
8290,pedrocamelo,edu.maria.das.sme,541642
8291,joaosampaio,edu.margarida.margarete.sme,541527
8292,joaosampaio,edu.maria.das.sme,541643
8293,mariaolinda,edu.maria.das.sme,541644
8294,mariaolinda,edu.margarida.margarete.sme,541528
8295,abdiasmartins,edu.maria.das.sme,541645
8296,antoniairene,edu.maria.das.sme,541646
8297,nsfatima,edu.maria.das.sme,541647
8298,abdiasmartins,edu.margarida.margarete.sme,541529
8299,franciscoperes,edu.maria.das.sme,541648
8300,antoniairene,edu.margarida.margarete.sme,541530
8301,nsfatima,edu.margarida.margarete.sme,541531
8302,joaoferreira,edu.maria.das.sme,541649
