,namespace,grade,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Porcentagem de visualização de relatórios de AA
245,ceprimeiromundo,em 2a serie,0.2501874612851694,8.666666666666666,243.66666666666663,0.1100663716814159
246,ceprimeiromundo,em 3a serie,0.8427128427128427,2.5,297.0,0.4571428571428571
247,ceprimeiromundo,outro,0.0238237045860631,37.0,1679.0,0.0
248,cepseguro,em 1a serie,0.0,0.0,0.0,0.0
249,cfc,ef 1o ano,0.0,0.0,0.0,0.0
250,cfc,em 1a serie,0.0,0.0,0.0,0.0
251,cfimaculadaconceicao,em 2a serie,0.0,0.0,0.0,0.0
252,charlesdarwin,em 1a serie,0.0,0.0,0.0,0.0
253,ciadosaber,ef 2o ano,0.953580901856764,4.5,68.0,0.1927710843373494
254,ciadosaber,ef 3o ano,0.1389830508474576,4.0,68.0,0.0245901639344262
255,ciadosaber,ef 4o ano,0.6910016977928692,5.8,55.0,0.3924731182795699
256,ciadosaber,ef 5o ano,0.4034511092851273,4.5,77.5,0.4206349206349206
257,ciadosaber,ef 6o ano,0.5655923740354063,7.4,70.4,0.5423728813559322
258,ciadosaber,ef 7o ano,0.5491493383742911,7.25,66.0,0.5394736842105263
259,ciadosaber,ef 8o ano,0.6350877192982456,4.25,40.0,0.7758620689655172
260,ciadosaber,ef 9o ano,0.4840579710144927,10.0,84.5,0.4678362573099415
261,classea,em 1a serie,0.0,0.0,0.0,0.0
262,cmdpii,em 1a serie,0.0,0.0,0.0,0.0
263,cmdpii,em 2a serie,0.0,9.0,663.0,0.0
264,cnslpb,ef 6o ano,0.8474128827877508,2.333333333333333,67.33333333333333,0.444794952681388
265,cnslpb,ef 7o ano,0.8582089552238806,1.75,63.0,0.4925373134328358
266,cnslpb,ef 8o ano,0.8429602888086642,2.0,83.33333333333333,0.5669642857142857
267,cnslpb,ef 9o ano,0.7363756364322082,4.0,96.0,0.3285939968404423
268,cnslpb,em 1a serie,0.7707713125845738,7.0,131.66666666666666,0.3219858156028369
269,cnslpb,em 2a serie,0.6401246638963578,8.666666666666666,149.0,0.1677852348993288
270,cnslpb,em 3a serie,0.4763034178984371,7.25,152.75,0.1486213853396099
271,cognita,em 1a serie,0.0,0.0,0.0,0.0
272,cognitivo,em 1a serie,0.0,0.0,0.0,0.0
273,colegioalbertsabin,em 1a serie,0.0,0.0,0.0,0.0
274,colegioalphaunis,ef 6o ano,0.9415204678362572,6.5,123.0,0.793859649122807
275,colegioalphaunis,ef 7o ano,0.9374588545095458,6.5,124.0,0.7040816326530612
276,colegioalphaunis,ef 8o ano,0.9640605296343,12.0,122.0,0.8846153846153846
277,colegioalphaunis,ef 9o ano,0.9758169934640524,11.5,204.0,0.8760233918128655
278,colegioalphaunis,em 1a serie,0.5953571428571428,15.0,280.0,0.1533333333333333
279,colegioalphaunis,em 2a serie,0.5522132550745904,15.0,282.0,0.0988505747126436
280,colegioalphaunis,em 3a serie,0.5181030086690463,16.0,318.0,0.1148648648648648
281,colegioanchietai,em 1a serie,0.0,1.5,201.0,0.0
282,colegioanchietai,em 2a serie,0.0,3.0,221.0,0.0
283,colegioanchietai,em 3a serie,0.0,3.0,241.0,0.0
284,colegioanchietaii,em 1a serie,0.0,1.0,134.33333333333334,0.0
285,colegioanchietaii,em 2a serie,0.0,3.0,221.0,0.0
286,colegioanchietaii,em 3a serie,0.0,3.0,241.0,0.0
287,colegioarena,ef 6o ano,0.0,0.0,0.0,0.0
288,colegioarena,em 1a serie,0.6706192358366272,20.0,220.0,0.5152173913043478
289,colegioarena,em 2a serie,0.5672514619883041,22.0,240.0,0.4341307814992025
290,colegioarena,em 3a serie,0.3686755952380952,21.0,420.0,0.2081679894179894
291,colegioarena,outro,0.2358926919518963,1.3333333333333333,230.0,0.1489361702127659
292,colegiobatistaindependente,ef 5o ano,1.0,7.0,74.0,0.4805194805194805
293,colegiobatistaindependente,ef 6o ano,0.8569023569023569,26.0,396.0,0.718816067653277
294,colegiobatistaindependente,ef 7o ano,0.8923124805477747,24.0,357.0,0.7407407407407407
295,colegiobatistaindependente,ef 8o ano,0.8384584664536742,16.333333333333332,199.66666666666663,0.6742209631728046
296,colegiobatistaindependente,ef 9o ano,0.834319526627219,19.5,277.5,0.708904109589041
297,colegiobatistaindependente,em 1a serie,0.8743455497382199,19.0,165.5,0.7061068702290076
298,colegiobatistaindependente,em 2a serie,0.8713235294117647,26.0,238.0,0.5913461538461539
299,colegiobatistaindependente,em 3a serie,0.8057225294541958,15.0,141.0,0.5908045977011495
300,colegiobatistaindependente,outro,1.0,1.0,25.0,0.75
301,colegiobetelbrasileirosp,ef 1o ano,1.0,1.0,9.5,0.8888888888888888
302,colegiobetelbrasileirosp,ef 6o ano,0.8960629921259843,1.75,9.25,0.7962529274004684
303,colegiobetelbrasileirosp,ef 7o ano,0.9060451565914056,1.75,9.5625,0.7335640138408305
304,colegiobetelbrasileirosp,ef 8o ano,0.9402035623409668,1.7058823529411764,8.705882352941176,0.7667638483965015
305,colegiobetelbrasileirosp,ef 9o ano,0.9297105729474306,1.6842105263157894,8.894736842105264,0.7703081232492998
306,colegiobetelbrasileirosp,em 1a serie,0.9430379746835444,1.5,7.5,0.7758620689655172
307,colegiobetelbrasileirosp,em 2a serie,0.9692653673163418,1.4666666666666666,7.733333333333333,0.75
308,colegiobetelbrasileirosp,em 3a serie,0.9180651530108588,1.8888888888888888,9.77777777777778,0.6767676767676768
309,colegiobianguloiv,em 1a serie,0.0,0.6,121.0,0.0
310,colegiobianguloiv,em 2a serie,0.0,1.0,221.0,0.0
311,colegiobianguloiv,em 3a serie,0.0,1.0,241.0,0.0
312,colegiobilac,ef 1o ano,0.974074074074074,11.0,120.0,0.0555555555555555
313,colegiobilac,ef 2o ano,0.9976851851851852,12.0,120.0,0.0509259259259259
314,colegiobilac,ef 3o ano,1.0,14.0,142.0,0.1050420168067226
315,colegiobilac,ef 4o ano,1.0,14.0,142.0,0.0879120879120879
316,colegiobilac,ef 5o ano,1.0,17.0,172.0,0.0803921568627451
317,colegiobilac,ef 6o ano,0.998931719042108,19.0,239.0,0.4832962138084632
318,colegiobilac,ef 7o ano,0.9918623378825124,20.0,251.0,0.2340425531914893
319,colegiobilac,ef 8o ano,0.9984185556141276,21.0,271.0,0.4299319727891156
320,colegiobilac,ef 9o ano,0.9975907484741408,22.0,283.0,0.365702479338843
321,colegiobrasilia,ef 2o ano,0.936969696969697,17.75,177.5,0.3048484848484848
322,colegiobrasilia,ef 3o ano,0.9357429718875502,17.25,182.5,0.2483266398929049
323,colegiobrasilia,ef 4o ano,0.9426508071367884,27.33333333333333,273.3333333333333,0.4222599830076465
324,colegiobrasilia,ef 5o ano,0.943046357615894,18.2,284.0,0.5122435473196558
325,colegiobrasilia,ef 6o ano,0.9402745327102804,4.5,141.25,0.4090763822307446
326,colegiobrasilia,ef 7o ano,0.9636143117040632,8.0,155.0,0.4357186173438447
327,colegiobrasilia,ef 8o ano,0.970181371042115,4.875,141.25,0.4841684598831847
328,colegiobrasilia,ef 9o ano,0.7930331350892098,7.833333333333333,177.16666666666666,0.3623488773747841
329,colegiobrasilia,em 1a serie,0.823850033110896,7.555555555555555,186.0,0.3658435360033202
330,colegiobrasilia,em 2a serie,0.9678643288301236,7.5,166.5,0.369258589511754
331,colegiobrasilia,em 3a serie,0.9805416666666666,21.0,480.0,0.3726190476190476
332,colegiobrasilia,outro,0.8918918918918919,1.0,20.0,0.0
333,colegiocb,ef 3o ano,0.9282608695652174,6.5,80.0,0.6130434782608696
334,colegiocb,ef 4o ano,0.9957627118644068,8.0,80.0,0.1949152542372881
335,colegiocb,ef 5o ano,0.9940476190476192,3.0,30.0,0.1726190476190476
336,colegiocb,ef 6o ano,0.971635485817743,5.666666666666667,52.5,0.7755331088664422
337,colegiocb,ef 7o ano,0.9332403965303594,5.142857142857143,47.142857142857146,0.6633663366336634
338,colegiocb,ef 8o ano,0.9656885944155228,5.666666666666667,52.0,0.741304347826087
339,colegiocb,ef 9o ano,0.9093374660984116,7.333333333333333,66.33333333333333,0.7429577464788732
340,colegiocb,em 1a serie,0.8186673448626653,4.4,42.2,0.5533498759305211
341,colegiocb,em 2a serie,0.917530133220554,3.6,39.0,0.6292906178489702
342,colegiocb,em 3a serie,0.944788580662537,8.0,85.5,0.5433526011560693
343,colegiocognos,em 1a serie,0.0,0.0,0.0,0.0
344,colegiodasamericas,ef 3o ano,1.0,1.0,10.0,0.6666666666666666
345,colegiodasamericas,ef 4o ano,0.7272727272727273,1.0,8.0,0.8181818181818182
