,namespace,grade,Porcentagem de visualização de relatórios de AA
390,colegioeducallis,em 3a serie,0.6521739130434783
391,colegioensitec,ef 2o ano,0.5444444444444444
392,colegioensitec,ef 3o ano,0.3525641025641026
393,colegioensitec,ef 4o ano,0.5384615384615384
394,colegioensitec,ef 5o ano,0.7678571428571429
395,colegioensitec,ef 6o ano,0.6233333333333333
396,colegioensitec,ef 7o ano,0.6252158894645942
397,colegioensitec,ef 8o ano,0.6387755102040816
398,colegioensitec,ef 9o ano,0.6604166666666667
399,colegioensitec,em 1a serie,0.6613545816733067
400,colegioensitec,em 2a serie,0.5128676470588235
401,colegioensitec,em 3a serie,0.6382978723404256
402,colegioexatus,em 1a serie,0.0
403,colegioflamingo,ef 3o ano,0.0
404,colegioflamingo,ef 7o ano,0.0
405,colegioflamingo,ef 9o ano,0.0
406,colegioflamingo,em 1a serie,0.4701086956521739
407,colegioflamingo,em 2a serie,0.575197889182058
408,colegioflamingo,em 3a serie,0.3886075949367089
409,colegiofuturageracao,ef 2o ano,0.5
410,colegiofuturageracao,ef 3o ano,0.1388888888888889
411,colegiofuturageracao,ef 4o ano,0.9583333333333334
412,colegiofuturageracao,ef 5o ano,1.0
413,colegiofuturageracao,ef 6o ano,0.8162393162393162
414,colegiofuturageracao,ef 7o ano,0.7647058823529411
415,colegiofuturageracao,ef 8o ano,0.5634920634920635
416,colegiofuturageracao,ef 9o ano,0.8
417,colegioglobal,ef 2o ano,0.5343915343915344
418,colegioglobal,ef 3o ano,0.49049429657794674
419,colegioglobal,ef 4o ano,0.6826923076923077
420,colegioglobal,ef 5o ano,0.8358778625954199
421,colegioglobal,ef 6o ano,0.8515151515151516
422,colegioglobal,ef 7o ano,0.9824561403508771
423,colegioglobal,ef 8o ano,0.9618055555555556
424,colegioglobal,ef 9o ano,0.9113149847094801
425,colegioglobal,em 1a serie,0.7993827160493827
426,colegioglobal,em 2a serie,0.7211538461538461
427,colegioglobal,em 3a serie,0.5303571428571429
428,colegioguilhermedealmeida,ef 6o ano,0.605
429,colegioguilhermedealmeida,ef 7o ano,0.5915119363395226
430,colegioguilhermedealmeida,ef 8o ano,0.4026548672566372
431,colegioguilhermedealmeida,ef 9o ano,0.3333333333333333
432,colegioguilhermedealmeida,em 1a serie,0.5283018867924528
433,colegioguilhermedealmeida,em 2a serie,0.4224137931034483
434,colegioguilhermedealmeida,em 3a serie,0.09433962264150944
435,colegioiguatemy,ef 3o ano,0.284
436,colegioiguatemy,ef 4o ano,0.6060606060606061
437,colegioiguatemy,ef 5o ano,0.5674603174603174
438,colegioiguatemy,ef 6o ano,0.6553191489361702
439,colegioiguatemy,ef 7o ano,0.553156146179402
440,colegioiguatemy,ef 8o ano,0.7126436781609196
441,colegioiguatemy,ef 9o ano,0.6181318681318682
442,colegioiguatemy,em 1a serie,0.1891156462585034
443,colegioiguatemy,em 2a serie,0.30601092896174864
444,colegioiguatemy,em 3a serie,0.23295454545454544
445,colegiointegral,ef 2o ano,0.7604938271604939
446,colegiointegral,ef 3o ano,0.812962962962963
447,colegiointegral,ef 4o ano,0.8387096774193549
448,colegiointegral,ef 5o ano,0.8695652173913043
449,colegiointegral,ef 6o ano,0.8781594296824368
450,colegiointegral,ef 7o ano,0.8833116036505867
451,colegiointegral,ef 8o ano,0.9134396355353075
452,colegiointegral,ef 9o ano,0.8207008964955175
453,colegiointegral,em 1a serie,0.6146209386281588
454,colegiointegral,em 2a serie,0.5540540540540541
455,colegiointegral,em 3a serie,0.5344215755855216
