,namespace,grade,numero_ex
442,colegioup,em 3a serie,251.66666666666666
443,conexaosaber,ef 1o ano,89.0
444,conexaosaber,ef 2o ano,108.0
445,conexaosaber,ef 3o ano,169.0
446,conexaosaber,ef 4o ano,41.0
447,conexaosaber,ef 5o ano,107.0
448,conexaosaber,ef 6o ano,111.0
449,conexaosaber,ef 7o ano,113.0
450,conexaosaber,ef 8o ano,132.0
451,conexaosaber,ef 9o ano,160.0
452,contemporaneo,em 3a serie,46.0
453,contemporaneocidadeverde,ef 3o ano,96.0
454,contemporaneocidadeverde,ef 5o ano,23.0
455,contemporaneocidadeverde,ef 6o ano,80.0
456,contemporaneocidadeverde,ef 7o ano,85.0
457,contemporaneocidadeverde,ef 8o ano,66.66666666666667
458,contemporaneocidadeverde,ef 9o ano,381.0
459,contemporaneocidadeverde,em 1a serie,384.0
460,contemporaneocidadeverde,em 2a serie,359.0
461,contemporaneocidadeverde,em 3a serie,411.0
462,contemporaneolagoanova,ef 6o ano,80.0
463,contemporaneolagoanova,ef 7o ano,80.0
464,contemporaneolagoanova,ef 8o ano,95.0
465,contemporaneolagoanova,ef 9o ano,257.3333333333333
466,contemporaneolagoanova,em 1a serie,394.0
467,contemporaneolagoanova,em 2a serie,432.0
468,contemporaneolagoanova,em 3a serie,366.0
469,crb,ef 6o ano,193.66666666666666
470,crb,ef 7o ano,209.22222222222223
471,crb,ef 8o ano,221.88888888888889
472,crb,ef 9o ano,194.27272727272728
473,crb,em 1a serie,350.5
474,crb,em 2a serie,366.5
475,crb,em 3a serie,275.42857142857144
476,crb,outro,30.0
477,crescercampinas,ef 6o ano,76.5
478,crescercampinas,ef 7o ano,76.6
479,crescercampinas,ef 8o ano,88.25
480,crescercampinas,ef 9o ano,72.16666666666667
481,crescercampinas,em 1a serie,127.75
482,crescercampinas,em 2a serie,188.0
483,crescercampinas,em 3a serie,178.5
484,cursoenfase,outro,221.0
485,cursoisfera,outro,75.42857142857143
486,cursoleopoldo,em 3a serie,90.0
487,cursoleopoldo,outro,90.0
488,cursosazambuja,outro,115.45098039215686
489,dante,em 3a serie,8.0
490,deltaeducacional,em 1a serie,172.33333333333334
491,deltaeducacional,em 2a serie,86.0
492,deltaeducacional,em 3a serie,120.0
493,dommga,em 3a serie,271.0
494,domus,em 1a serie,276.0
495,domus,em 2a serie,276.0
496,domus,em 3a serie,276.0
497,eacorcovado,ef 5o ano,9.0
498,eacorcovado,ef 8o ano,6.0
499,eacorcovado,ef 9o ano,12.0
500,eacorcovado,em 1a serie,14.0
501,eacorcovado,em 2a serie,31.0
502,eacorcovado,em 3a serie,26.0
503,eccos,ef 3o ano,19.5
504,eccos,ef 4o ano,7.0
505,eccos,ef 5o ano,29.0
506,eccos,ef 6o ano,14.75
507,eccos,ef 7o ano,37.5
508,eccos,ef 8o ano,48.0
509,eccos,ef 9o ano,26.5
510,educamais,ef 6o ano,5.0
511,educamais,ef 8o ano,3.0
512,educandarioterciocorreia,ef 3o ano,106.0
513,educandarioterciocorreia,ef 4o ano,125.0
514,educandarioterciocorreia,ef 5o ano,120.0
515,educandarioterciocorreia,ef 6o ano,218.0
516,educandarioterciocorreia,ef 7o ano,198.0
517,educandarioterciocorreia,ef 8o ano,243.0
518,educandarioterciocorreia,ef 9o ano,204.0
519,educarse,outro,186.0
520,einsteinassis,ef 6o ano,94.0
521,einsteinassis,ef 7o ano,81.0
522,einsteinassis,ef 8o ano,83.0
523,einsteinassis,ef 9o ano,86.0
524,einsteinassis,em 1a serie,124.0
525,einsteinassis,em 2a serie,116.0
526,einsteinassis,em 3a serie,112.0
527,elitecuritiba,outro,90.0
528,elitecuritibaemilianoperneta,em 1a serie,615.0
529,elitecuritibaemilianoperneta,em 2a serie,610.0
530,elitecuritibaemilianoperneta,em 3a serie,565.0
531,elitecuritibaemilianoperneta,outro,455.0
532,eluneonline,em 1a serie,6.0
533,escola,ef 4o ano,3.0
