,namespace,grade,Porcentagem de engajamento em AAs
529,crescercampinas,em 3a serie,0.6549019607843137
482,colegioup,ef 9o ano,0.6540971168437025
485,colegioup,em 3a serie,0.6535495130327085
838,physicsalcindocacela,em 3a serie,0.6512152599733361
836,physicsalcindocacela,em 1a serie,0.6509695290858726
626,institutosaojose,em 1a serie,0.6502487562189054
479,colegioup,ef 6o ano,0.6483935742971888
499,contemporaneocidadeverde,ef 6o ano,0.6467391304347826
409,colegiomundial,em 1a serie,0.6451612903225806
49,acessohauer,ef 6o ano,0.64477587343441
1089,stellamarisxaxim,em 3a serie,0.6434294871794872
481,colegioup,ef 8o ano,0.6426122194513716
825,overzonanorte,ef 8o ano,0.6412698412698413
299,colegioecursodesafio,ef 8o ano,0.6410761154855643
199,cnslpb,em 2a serie,0.6401246638963578
871,physicsbatistacampos,ef 9o ano,0.6400679117147708
880,physicscidadenova,em 1a serie,0.6393260838460438
946,portinari,em 3a serie,0.6392649903288201
1017,sagradafamilia,em 1a serie,0.6387030365414308
447,colegiosete,ef 1o ano,0.6385636221701796
723,novotempo,em 1a serie,0.6378718535469108
885,physicsconselheirofurtado,em 1a serie,0.6372228552216225
1122,villalobos,ef 8o ano,0.63689505165851
1123,villalobos,ef 9o ano,0.6360619469026548
191,ciadosaber,ef 8o ano,0.6350877192982456
743,objetivolorena,ef 8o ano,0.6335877862595419
48,acessohauer,ef 5o ano,0.6334062727935813
962,prismapatrocinio,ef 5o ano,0.6333333333333333
528,crescercampinas,em 2a serie,0.6293720190779014
501,contemporaneocidadeverde,ef 8o ano,0.6289381563593932
91,aescobjetivo,ef 9o ano,0.6285273368606702
878,physicscidadenova,ef 8o ano,0.6284584980237155
1118,villalobos,ef 4o ano,0.6279761904761905
850,physicsalmirantebarroso,em 3a serie,0.6267655367231638
434,colegiopremium,ef 7o ano,0.6246279761904762
89,aescobjetivo,ef 7o ano,0.6227490996398559
480,colegioup,ef 7o ano,0.6211180124223602
1126,villalobos,em 3a serie,0.6204545454545455
707,master,ef 9o ano,0.6196164062118077
856,physicsaugustomontenegro,ef 7o ano,0.618595825426945
92,aescobjetivo,em 1a serie,0.616755607437672
713,minhalista,outro,0.6166666666666667
879,physicscidadenova,ef 9o ano,0.6160714285714286
581,einsteinassis,em 3a serie,0.6116071428571429
724,novotempo,em 2a serie,0.6100543478260869
1125,villalobos,em 2a serie,0.6082101806239737
14,acessoboqueirao,ef 9o ano,0.6078464458974899
764,overabelcabral,ef 7o ano,0.6074666666666667
783,overmarciliofurtado,ef 6o ano,0.6073557982179942
687,maplebearslz,em 1a serie,0.6066978193146417
547,domus,em 2a serie,0.6065217391304348
438,colegiopremium,em 2a serie,0.6050875729774813
824,overzonanorte,ef 7o ano,0.6043712014960262
652,invictus,em 3a serie,0.6031746031746031
865,physicsbatistacampos,ef 3o ano,0.6
22,acessocampolargo,ef 9o ano,0.5981928821685414
1114,universobarcarena,ef 9o ano,0.596453683888719
1019,sagradafamilia,em 3a serie,0.5961963732861566
294,colegioecursodesafio,ef 3o ano,0.5960471567267683
765,overabelcabral,ef 8o ano,0.5958655824434211
4,acessoalmirantetamandare,ef 6o ano,0.5957792207792207
703,master,ef 5o ano,0.5954940407535563
207,colegioalphaunis,em 1a serie,0.5953571428571428
289,colegioeag,ef 3o ano,0.5952380952380952
125,brasilcursinhos,outro,0.5947315771923974
806,overpontanegra,ef 2o ano,0.59375
1111,universobarcarena,ef 6o ano,0.5916798553018313
771,overjoaopessoa,ef 9o ano,0.591025641025641
34,acessofazendariogrande,ef 4o ano,0.5897435897435898
1022,santadoroteia,em 2a serie,0.5875888817065288
826,overzonanorte,ef 9o ano,0.5873745819397993
1,acessoalmirantetamandare,ef 3o ano,0.5852187028657617
368,colegioiguatemy,ef 5o ano,0.5847619047619048
868,physicsbatistacampos,ef 6o ano,0.5844155844155844
1120,villalobos,ef 6o ano,0.5836843272001774
1013,rede,ef 9o ano,0.5833333333333334
298,colegioecursodesafio,ef 7o ano,0.5831157528285466
813,overpontanegra,ef 9o ano,0.5820081176392308
5,acessoalmirantetamandare,ef 7o ano,0.5813148788927336
877,physicscidadenova,ef 7o ano,0.581081081081081
945,portinari,em 2a serie,0.5802916025527836
1116,universobarcarena,em 2a serie,0.5786057692307692
857,physicsaugustomontenegro,ef 8o ano,0.5774144098109351
483,colegioup,em 1a serie,0.5765899430587857
367,colegioiguatemy,ef 4o ano,0.5765877957658779
742,objetivolorena,ef 7o ano,0.5753962264150944
420,colegioplanck,ef 6o ano,0.5753768844221105
944,portinari,em 1a serie,0.5752910139656894
500,contemporaneocidadeverde,ef 7o ano,0.5738831615120275
