,namespace,user_id,id
17150,francobrasileiro,sas1368093,491237
17151,provaspoliedro,poliedro.quimica.sp,527994
17152,provaspoliedro,poliedro.matematica.sp,527996
17153,provaspoliedro,poliedro.fisica.sp,527997
17154,colegioliceu,sas1343001,484794
17155,sasadaptrelatorios,sas.professor,528105
17156,ipdhsolucoes,nataliatw75,528113
17157,amais,professorestudando,537349
17158,colegiobilac,jaimestone,528208
17159,overabelcabral,FRANCISCA.ARINUZA.ABEL,333544
17160,colegiocognos,amandakoga,171635
17161,colegiocognos,andreiajensen,228299
17162,colegiocognos,cfspass,228298
17163,colegiocognos,fabiolapedroso,180660
17164,casdinhosjc,Linguini,537350
17165,einsteinassis,einstein.carolinaespinoza,537367
17166,qescola,professor.cid,528212
17167,magister,geoconda,528231
17168,universitariolondrina,ricardo.siqueira,529023
17169,motiva,felipe.motiva,530548
17170,colegiouirapuru,prof.barbara.crudo,360740
17171,physicsaugustomontenegro,luiz.dasilva,530671
17172,physicsaugustomontenegro,luiz.limamartins,530672
17173,physicsaugustomontenegro,felipe.santiago,530673
17174,physicsalcindocacela,roterdan.edfisica,531194
17175,physicscidadenova,luiz.silvadasilva,531198
17176,physicscidadenova,luiz.limamartins,531199
17177,physicscidadenova,felipe.santiago,531200
17178,colegiointegral,lidiagoncalves,564047
17179,physicscidadenova,everton.nunes,530668
17180,brasilcursinhos,felipe.wlopes,532688
17181,brasilcursinhos,pedrolind27,532689
17182,brasilcursinhos,joao.vsv,532834
17183,brasilcursinhos,eduarda20,532836
17184,acessosjpinhais,raquel.britto,564048
17185,brasilcursinhos,eduardosn95,533208
17186,brasilcursinhos,haniel,533333
17187,colegioalphaunis,alexander.alpha2021,564560
17188,brasilcursinhos,malupe,533510
17189,brasilcursinhos,mateuspm25,533546
17190,colegiobianguloiv,sas916564,553991
17191,overzonanorte,Diugo.Pimenta,553995
17192,colegioalphaunis,alexandre.alpha2021,564561
17193,colegioalphaunis,angela.alpha2021,564562
17194,colegioalphaunis,ariane.alpha2021,564563
17195,imaculada,imaculada,598598
17196,imaculada,sas.professor,598595
17197,colegioalphaunis,cristiane.alpha2021,564564
17198,colegioalphaunis,edmar.alpha2021,564565
17199,colegioalphaunis,emerson.alpha2021,564566
17200,colegioalphaunis,francisco.alpha2021,564567
17201,colegioalphaunis,gledston.alpha2021,564568
17202,colegioalphaunis,james.alpha2021,564569
17203,porto,sas1127631,506350
17204,colegioalphaunis,magno.alpha2021,564570
17205,colegioalphaunis,marcia.alpha2021,564571
17206,colegiobianguloiv,sas1420966,537407
17207,physicsaugustomontenegro,patrick.ribeiro,537429
17208,physicsmacapa,patrick.ribeiro,537431
17209,universitariolondrina,professorestudando,537440
17210,ceprimeiromundo,professorestudando,537441
17211,novotempo,professorestudando,537442
17212,colegiomotiva,prof.tarcisio,537495
17213,einsteinassis,einstein.nataliaportugues,537503
