,namespace,user_id,id
6217,antaressantosdumont,nadine.fontenele,401859
6218,franciscanopioxii,adminsas,407750
6219,franciscanopioxii,consultorsas,407749
6220,physicsumarizal,jonasstanley,338507
6221,invictus,Igor512,427360
6222,antaressantosdumont,william.alves,401995
6223,profederal,lucas.teles,427364
6224,apogeu,erickst,427396
6225,brasilcursinhos,garra.jardel,278892
6226,magno,adminsas,407754
6227,magno,consultorsas,407753
6228,cursoenfase,jonasstanley,338508
6229,profederal,paulothiagoceo,427365
6230,master,lfmaiamat,407755
6231,apogeu,robson.oliveira,411506
6232,qescola,admindemo,275036
6233,qescola,alice.souza,377348
6234,qescola,AlisonR,16752
6235,unificado,paolatavaresunificado,407644
6236,qescola,aluna.ingrid,338842
6237,colegioiguatemy,profig15,345901
6238,qescola,teste.joana,387937
6239,qescola,conquistinha1,61955
6240,qescola,conquistinha11,61957
6241,qescola,conquistinha14,61960
6242,qescola,conquistinha15,61961
6243,qescola,conquistinha2,61962
6244,qescola,conquistinha3,61963
6245,qescola,conquistinha4,61964
6246,poliedro,bruno.adm,407665
6247,overmarciliofurtado,raphaelmachado,407756
6248,overabelcabral,raphaelmachado,407757
6249,overpontanegra,raphaelmachado,407758
6250,overjoaopessoa,raphaelmachado,407759
6251,overmossoro,raphaelmachado,407760
6252,overnascimentodecastro,raphaelmachado,407761
6253,universitariolondrina,raphaelmachado,407772
6254,colegiojoaopaulo,raphaelmachado,407773
6255,avaliacaoapogeu,coordapogeu,407101
6256,unificado,patriciazanellaunificado,407645
6257,einsteinassis,einstein.gabriel,540489
6258,master,betamayra,392949
6259,qescola,conquistinha5,61965
6260,qescola,conquistinha6,61966
6261,qescola,conquistinha7,61967
6262,qescola,conquistinha8,61968
6263,cfc,adminsas,402148
6264,qescola,conquistinha9,61969
6265,qescola,alunoeduqog,368318
6266,cognitivo,adminsas,411203
6267,amais,jonasstanley,251403
6268,qescola,gabriel.dinizteste,392215
6269,qescola,alunololi,197712
6270,qescola,pedroaluno22,286597
6271,qescola,alunoteste123456,376077
6272,qescola,alunoteste005,249718
6273,physicsmacapa,matriculador.thamila.penanti,407048
6274,amais,matriculadores.josiane.lima,412796
6275,amais,matriculadores.josiely.ivanski,412797
6276,colegioflamingo,monique.caversan,402155
6277,amais,matriculadores.juliane.ramos,412798
6278,amais,matriculadores.jussara.marques,412799
6279,matriz,rodrigopalmamatriz,402159
6280,pesenglish,pes.esrom.adriano,593544
6281,pesenglish,pes.adriane.maria,593545
6282,qi,admqibotafogo,402166
6283,pesenglish,pes.daiana.buss,593546
6284,ipdhsolucoes,admincirioipdh,390573
6285,qi,admqirio2,402167
6286,qi,admqifreguesia,402168
6287,qi,admqimetropolitano,402171
6288,qi,admqirecreio,402172
6289,profederal,beatriz.reis,427476
6290,profederal,flaviele.souza,427478
6291,aocubo,admaocubobarra,402183
6292,profederal,johanne.moreira,427479
6293,profederal,lize.lopes,427480
6294,profederal,maria.gsilva,427481
6295,profederal,rafael.reis,427483
6296,profederal,patielle.gomes,427482
6297,sas,CadastroSASADAPT,394604
6298,colegiosete,daiany.varjao,399117
6299,sas,CadastroSASAdapt,394603
6300,aocubo,admaocuborecreio,402187
6301,aocubo,admaocubobotafogo,402185
6302,aocubo,admaocubotijuca,402186
6303,gdv,vera.lucia,402194
6304,avaliacaoapogeu,ricardonunes2,367730
6305,acessopinhais,matriculadores.aline.silva,413815
6306,physicsalcindocacela,gabriel.araujo,463750
6307,amais,matriculadores.ana.clara,412767
6308,amais,matriculadores.ana.claudia,412838
6309,amais,matriculadores.ana.marcia,412768
6310,amais,matriculadores.ana.paula,412769
6311,amais,matriculadores.andrea.souza,412770
6312,amais,matriculadores.andrea.jurkevythz,412771
6313,amais,matriculadores.andresa.tayna,412772
6314,overmossoro,matriculadores.ana.clara,413817
6315,amais,matriculadores.beatriz.damasceno,412848
6316,amais,matriculadores.brenda.lino,412773
6317,acessofazendariogrande,matriculadores.ana.claudia,413818
6318,amais,matriculadores.camila.horacio,412774
6319,amais,matriculadores.camille.moraes,412775
6320,acessosantafelicidade,matriculadores.ana.marcia,413819
6321,amais,matriculadores.carla.janaina,412776
6322,amais,matriculadores.carla.wandeck,412777
6323,overnascimentodecastro,matriculadores.ana.paula,413820
6324,amais,matriculadores.carolina.marcia,412778
6325,amais,matriculadores.cynthia.vale,412779
6326,acessoboqueirao,matriculadores.andrea.jurkevythz,413821
6327,amais,matriculadores.danielle.barreto,412780
6328,amais,matriculadores.debora.brosch,412781
6329,physicsalmirantebarroso,matriculadores.brenda.lino,413824
6330,amais,matriculadores.eduardo.souza,412784
6331,amais,matriculadores.eliana.vieira,412785
6332,physicscidadenova,matriculadores.cynthia.vale,413830
6333,amais,matriculadores.eliqueila.souza,412850
6334,amais,matriculadores.elisangela.justo,412786
6335,amais,matriculadores.elizabete.silva,412787
6336,physicsalcindocacela,matriculadores.danielle.barreto,413831
6337,amais,matriculadores.emmanuelle.sant,412788
6338,amais,matriculadores.geanine.zelindro,412789
6339,stellamarisjuveve,matriculadores.debora.brosch,413832
6340,amais,matriculadores.gisele.andrade,412790
6341,amais,matriculadores.glauce.costa,412791
