,namespace,grade,gerados
158,ceespacolivre,ef 8o ano,0.0
159,ceespacolivre,ef 9o ano,0.0
160,ceespacolivre,em 1a serie,0.0
161,ceespacolivre,em 2a serie,0.0
162,cem,0,0.0
163,cem,ef 2o ano,0.0
164,cem,ef 3o ano,0.0
165,cem,ef 4o ano,0.0
166,cem,ef 5o ano,0.0
167,cem,ef 6o ano,0.0
168,cem,ef 7o ano,0.0
169,cem,ef 8o ano,0.0
170,cem,ef 9o ano,0.0
171,cem,em 1a serie,0.0
207,colegioalphaunis,ef 6o ano,0.0
209,colegioalphaunis,ef 8o ano,0.0
140,cbpdigital,ef 6o ano,0.0
252,colegiobilac,ef 8o ano,0.0
258,colegiobrasilia,ef 5o ano,0.0
257,colegiobrasilia,ef 4o ano,0.0
256,colegiobrasilia,ef 3o ano,0.0
255,colegiobrasilia,ef 2o ano,0.0
254,colegiobrasilia,0,0.0
253,colegiobilac,ef 9o ano,0.0
251,colegiobilac,ef 7o ano,0.0
210,colegioalphaunis,ef 9o ano,0.0
250,colegiobilac,ef 6o ano,0.0
249,colegiobilac,ef 5o ano,0.0
248,colegiobilac,ef 4o ano,0.0
247,colegiobilac,ef 3o ano,0.0
246,colegiobilac,ef 2o ano,0.0
245,colegiobilac,ef 1o ano,0.0
259,colegiobrasilia,ef 6o ano,0.0
260,colegiobrasilia,ef 7o ano,0.0
261,colegiobrasilia,ef 8o ano,0.0
262,colegiobrasilia,ef 9o ano,0.0
263,colegiobrasilia,em 1a serie,0.0
264,colegiobrasilia,em 2a serie,0.0
265,colegiobrasilia,em 3a serie,0.0
266,colegiobrasilia,outro,0.0
267,colegiocb,0,0.0
268,colegiocb,ef 3o ano,0.0
269,colegiocb,ef 4o ano,0.0
270,colegiocb,ef 5o ano,0.0
271,colegiocb,ef 6o ano,0.0
272,colegiocb,ef 7o ano,0.0
273,colegiocb,ef 8o ano,0.0
274,colegiocb,ef 9o ano,0.0
275,colegiocb,em 1a serie,0.0
244,colegiobianguloiv,em 3a serie,0.0
243,colegiobianguloiv,em 2a serie,0.0
242,colegiobianguloiv,em 1a serie,0.0
