,namespace,Nº de AAs copiadas da estante mágica e aplicada,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório,Porcentagem de visualização dos relatórios de AD,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD,Nº de exercícios em relatórios de AD / exercícios disponibilizados,Média de exercícios em relatórios de AD por turma,Média
226,senaiserra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,sesi376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,sesicic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,sesigama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,senacsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,sementes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,seletivoeducallis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,saojoaoilhabela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,saojoseal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,saojosecaxias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,scoredu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,secretariadealagoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,seculo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,sesijacarei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,sistemamaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,sobral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,sonhomeu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,siqueirafelix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,sesisaomigueldooeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,sesisjc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,ursinhofeliz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,vieiraeducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,fatene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,witidiomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
