,namespace,Semana,Porcentagem de visualização de relatórios de AA
352,blueschooleducacional,27,0.0
353,blueschooleducacional,28,0.0
354,blueschooleducacional,29,0.0
355,blueschooleducacional,30,0.0
356,blueschooleducacional,32,0.0
357,blueschooleducacional,33,0.0
358,blueschooleducacional,34,0.0
359,blueschooleducacional,35,0.0
360,boaviagem,23,0.0
361,boaviagem,24,0.0
362,boaviagem,25,0.0
363,boaviagem,26,0.0
364,boaviagem,27,0.0
365,boaviagem,28,0.0
366,boaviagem,31,0.0
367,boaviagem,32,0.0
368,boaviagem,33,0.0
369,boaviagem,35,0.0
370,borapassar,23,0.0
371,borapassar,24,0.0
372,borapassar,25,0.0
373,borapassar,26,0.0
374,borapassar,27,0.0
375,borapassar,28,0.0
376,borapassar,31,0.0
377,borapassar,32,0.0
378,borapassar,33,0.0
379,borapassar,35,0.0
380,bosquemananciais,23,0.0
381,bosquemananciais,24,0.0
382,bosquemananciais,25,0.0
383,bosquemananciais,27,0.0
384,bosquemananciais,28,0.0
385,bosquemananciais,29,0.0
386,bosquemananciais,30,0.0
387,bosquemananciais,32,0.0
388,bosquemananciais,33,0.0
389,bosquemananciais,34,0.0
390,bosquemananciais,35,0.0
391,brasilcursinhos,25,0.17482517482517482
392,brasilcursinhos,27,0.16083916083916083
393,brasilcursinhos,28,0.7235023041474654
394,brasilcursinhos,29,0.4375
395,brasilcursinhos,30,1.0
396,brasilcursinhos,34,0.7377049180327869
397,brasilcursinhos,35,0.3333333333333333
398,camerinocursos,29,0.05052631578947368
399,capacitacaoinspira,27,0.0
400,casdinhosjc,23,0.3522906793048973
401,casdinhosjc,24,0.4258064516129032
402,casdinhosjc,25,0.40869565217391307
403,casdinhosjc,27,0.5607843137254902
404,casdinhosjc,31,0.37254901960784315
405,casdinhosjc,33,0.49411764705882355
406,casdvest,23,0.0
407,casdvest,24,0.23076923076923078
408,casdvest,25,0.14285714285714285
409,casdvest,26,0.07785234899328859
410,casdvest,27,0.058208955223880594
411,casdvest,28,0.01905972045743329
412,casdvest,29,0.05333333333333334
413,casdvest,30,0.04029850746268657
414,casdvest,31,0.04328358208955224
415,casdvest,32,0.03283582089552239
416,casdvest,33,0.03880597014925373
417,casdvest,35,0.0
418,catamaravita,23,0.0
419,catamaravita,24,0.0
420,catamaravita,25,0.0
421,catamaravita,26,0.0
422,catamaravita,27,0.0
423,catamaravita,28,0.0
424,catamaravita,31,0.0
425,catamaravita,32,0.0
426,catamaravita,33,0.0
427,catamaravita,35,0.0
428,catarinense,23,0.0
429,catarinense,24,0.0
430,catarinense,25,0.0
431,catarinense,27,0.0
432,catarinense,28,0.0
433,catarinense,29,0.0
434,catarinense,30,0.0
435,catarinense,32,0.0
436,catarinense,33,0.0
437,catarinense,34,0.0
438,catarinense,35,0.0
439,cats,29,0.7045454545454546
440,cats,30,0.5
441,cats,34,0.11363636363636363
442,caur,23,0.0
443,caur,24,0.0
444,caur,25,0.0
445,caur,26,0.0
446,caur,27,0.0
447,caur,32,0.0
448,caur,33,0.0
449,caur,34,0.0
450,caur,35,0.0
451,cav,23,0.0
452,cav,24,0.0
453,cav,25,0.0
454,cav,27,0.0
455,cav,28,0.0
456,cav,29,0.0
457,cav,30,0.0
458,cav,32,0.0
459,cav,33,0.0
460,cav,34,0.0
461,cav,35,0.0
462,cbpdigital,23,0.18882978723404256
463,cbpdigital,24,0.6962216624685138
464,cbpdigital,25,0.4166666666666667
465,cbpdigital,26,0.28640776699029125
466,cbpdigital,30,0.0
467,cbpdigital,31,0.8125
468,cbpdigital,32,0.7222222222222222
469,cbpdigital,33,0.9007633587786259
470,cbpdigital,34,0.8169838945827232
471,cbpdigital,35,0.7800982800982801
472,ceabb,26,0.21518987341772153
473,ceabb,27,0.2389937106918239
474,ceabb,30,0.0
475,ceabb,31,0.18840579710144928
476,ceabb,35,0.0967391304347826
477,cecbdf,23,0.0
478,cecbdf,24,0.0
479,cecbdf,25,0.0
480,cecbdf,27,0.0
481,cecbdf,28,0.0
482,cecbdf,29,0.0
483,cecbdf,30,0.0
484,cecbdf,32,0.0
485,cecbdf,33,0.0
486,cecbdf,34,0.0
487,cecbdf,35,0.0
488,ceespacolivre,23,0.760752688172043
489,ceespacolivre,24,0.8002028397565923
490,ceespacolivre,25,0.13821138211382114
