,namespace,Semana,Número de AAs por turma
319,colegiocb,33,0.6666666666666666
320,colegiocb,34,2.6
321,colegiocb,35,2.1875
322,colegiocognos,23,1.0
323,colegiocognos,33,0.5
324,colegiodasamericas,23,1.0
325,colegiodasamericas,24,2.642857142857143
326,colegiodasamericas,25,1.0
327,colegiodasamericas,26,2.8333333333333335
328,colegiodasamericas,27,1.3333333333333333
329,colegiodasamericas,30,1.0
330,colegiodasamericas,31,0.9
331,colegiodasamericas,33,1.0
332,colegiodasamericas,34,1.2
333,colegiodasamericas,35,1.25
334,colegiodompedrosegundo,28,0.5
335,colegioeag,27,1.0
336,colegioeag,30,1.0
337,colegioeag,33,1.0
338,colegioeag,34,1.5
339,colegioecursodesafio,23,3.8947368421052633
340,colegioecursodesafio,24,5.48
341,colegioecursodesafio,25,1.9230769230769231
342,colegioecursoprogressao,23,1.1927710843373494
343,colegioecursoprogressao,24,1.6511627906976745
344,colegioecursoprogressao,25,4.461538461538462
345,colegioecursoprogressao,26,1.736842105263158
346,colegioecursoprogressao,27,3.1538461538461537
347,colegioecursoprogressao,28,3.0
348,colegioecursoprogressao,30,1.25
349,colegioecursoprogressao,31,3.769230769230769
350,colegioecursoprogressao,32,6.769230769230769
351,colegioecursoprogressao,33,11.076923076923077
352,colegioecursoprogressao,34,1.4285714285714286
353,colegioecursoprogressao,35,1.0
354,colegioeducallis,23,0.8805970149253731
355,colegioeducallis,24,0.8813559322033898
356,colegioeducallis,25,0.7555555555555555
357,colegioeducallis,31,1.125
358,colegioeducallis,32,0.85
359,colegioeducallis,33,0.7631578947368421
360,colegioeducallis,34,0.7884615384615384
361,colegioeducallis,35,1.088235294117647
362,colegioensitec,23,1.9
363,colegioensitec,24,1.1428571428571428
364,colegioensitec,25,1.0
365,colegioensitec,28,0.4444444444444444
366,colegioensitec,29,1.5833333333333333
367,colegioensitec,30,2.272727272727273
368,colegioensitec,31,2.0
369,colegioensitec,32,1.25
370,colegioensitec,33,1.6666666666666667
371,colegioensitec,34,1.2857142857142858
372,colegioensitec,35,1.0
373,colegioflamingo,23,1.0
374,colegioflamingo,24,4.166666666666667
375,colegioflamingo,25,2.8333333333333335
