,namespace,Semana,numero_ex
991,poliedro,35,40.0
643,elitecuritibaemilianoperneta,25,40.0
985,poliedro,24,40.0
145,apogeustoantonio2,31,40.0
18,acessoboqueirao,30,40.0
755,macvest,26,40.0
988,poliedro,29,40.0
173,casdvest,28,40.0
1050,profederal,29,40.0
898,overpontanegra,23,39.6875
375,colegioflamingo,25,39.5
788,master,23,39.41984732824427
795,master,31,39.39153439153439
312,colegiocb,24,39.333333333333336
1183,spdacruz,24,39.15151515151515
255,colegioalphaunis,26,39.125
525,contemporaneocidadeverde,31,38.857142857142854
831,objetivolorena,34,38.77272727272727
85,acessosantafelicidade,34,38.53846153846154
226,ceprimeiromundo,33,38.515151515151516
1209,stellamarisxaxim,23,38.5
567,cursoisfera,24,38.4
1061,progressaodc,27,38.333333333333336
1013,portinari,34,37.926829268292686
508,colegioup,26,37.851851851851855
740,isem,27,37.833333333333336
1246,universobarcarena,35,37.75
309,colegiobrasilia,34,37.46153846153846
20,acessoboqueirao,32,37.357142857142854
938,physicsaugustomontenegro,26,37.142857142857146
884,overmossoro,24,37.142857142857146
702,institutocristao,25,37.0
9,acessoalmirantetamandare,34,36.9
1041,prismapatrocinio,32,36.8421052631579
539,crb,25,36.666666666666664
777,mariliamattoso,25,36.666666666666664
91,acessosjpinhais,27,36.42424242424242
311,colegiocb,23,36.38461538461539
5,acessoalmirantetamandare,30,36.333333333333336
54,acessofazendariogrande,35,36.285714285714285
822,nucleocriativo,35,36.2
1018,porto,26,36.18181818181818
829,objetivolorena,32,36.1764705882353
406,colegioiguatemy,25,36.0
303,colegiobrasilia,26,36.0
577,cursoisfera,34,36.0
225,ceprimeiromundo,32,35.714285714285715
10,acessoalmirantetamandare,35,35.5
532,contemporaneolagoanova,32,35.46666666666667
843,overabelcabral,26,35.45
292,colegiobilac,24,35.4
422,colegiointegral,31,35.351351351351354
571,cursoisfera,28,35.333333333333336
505,colegioup,23,35.333333333333336
767,maplebearslz,25,35.2
1054,profederal,33,35.142857142857146
1198,stellamarisjuveve,23,35.074074074074076
850,overabelcabral,33,35.041666666666664
234,ciadosaber,30,35.0
663,escolaceciliameireles,32,35.0
1132,santamariacn,32,35.0
531,contemporaneolagoanova,31,35.0
957,physicsconselheirofurtado,32,35.0
629,educandarioterciocorreia,33,34.857142857142854
378,colegioflamingo,33,34.833333333333336
34,acessocampolargo,35,34.75
595,deltaeducacional,24,34.666666666666664
980,pioxiicolegio,33,34.6
1205,stellamarisjuveve,32,34.6
56,acessohauer,24,34.5
790,master,25,34.37864077669903
924,physicsalcindocacela,24,34.333333333333336
979,pioxiicolegio,32,34.3
1109,qescola,30,34.22222222222222
231,ciadosaber,23,34.13333333333333
504,colegiouniverso,33,34.125
601,deltaeducacional,35,34.0
803,minhalista,32,34.0
453,colegionovopatio,23,34.0
425,colegiointegral,34,33.6
129,amadeus,34,33.37931034482759
838,oficinadoestudante,26,33.333333333333336
268,colegioarena,33,33.333333333333336
357,colegioeducallis,31,33.0
697,implantacao,26,33.0
213,cem,33,32.81818181818182
1089,provaspoliedro,32,32.71739130434783
227,ceprimeiromundo,34,32.541666666666664
703,institutocristao,26,32.5
575,cursoisfera,32,32.42857142857143
412,colegioiguatemy,33,32.30769230769231
1250,villalobos,26,32.27272727272727
1194,stellamarisaguaverde,26,32.111111111111114
1235,universitariolondrina,35,32.02777777777778
98,acessosjpinhais,34,32.0
1082,provaspoliedro,24,31.88372093023256
1024,porto,34,31.84
90,acessosjpinhais,26,31.7
742,isem,30,31.666666666666668
306,colegiobrasilia,31,31.612903225806452
274,colegiobatistaindependente,26,31.55
880,overmarciliofurtado,33,31.545454545454547
125,amadeus,30,31.5
385,colegiofuturageracao,31,31.333333333333332
360,colegioeducallis,34,31.173076923076923
582,cursosazambuja,24,31.0
706,institutoeurofarma,32,31.0
1003,portinari,23,30.974358974358974
970,pioxi,23,30.88235294117647
1188,spdacruz,33,30.795454545454547
553,crescercampinas,32,30.74074074074074
164,casdinhosjc,24,30.6
204,ceespacolivre,32,30.5
1092,provaspoliedro,35,30.41509433962264
1015,porto,23,30.307692307692307
630,educandarioterciocorreia,34,30.285714285714285
784,mariliamattoso,32,30.25
1017,porto,25,30.137931034482758
526,contemporaneocidadeverde,32,30.076923076923077
971,pioxi,24,30.06
270,colegioarena,35,30.0
1127,santamariacn,27,30.0
1221,testevictorhugo,32,30.0
709,integra,23,30.0
608,eacorcovado,25,30.0
522,contemporaneo,33,30.0
956,physicsconselheirofurtado,31,30.0
