,namespace,Semana,Porcentagem de relatórios de AA visualizados por docente
455,crescercampinas,29,0.0
456,crescercampinas,30,1.0
457,crescercampinas,31,0.5833333333333334
458,crescercampinas,32,0.42361111111111105
459,crescercampinas,33,0.5771585557299843
460,crescercampinas,34,0.5922619047619048
461,crescercampinas,35,0.17245989304812834
462,cursinhoeach,25,0.125
463,cursoenfase,24,0.5
464,cursoenfase,33,0.0
465,cursoenfase,34,0.0
466,cursoisfera,25,0.5
467,cursoisfera,34,0.0
468,cursosazambuja,24,0.08333333333333333
469,cursosazambuja,25,0.20909090909090908
470,cursosazambuja,26,0.0
471,cursosazambuja,27,1.0
472,cursosazambuja,28,0.6666666666666666
473,cursosazambuja,29,0.16666666666666666
474,cursosazambuja,30,0.0
475,cursosazambuja,33,0.0
476,cursosazambuja,34,0.3
477,cursosazambuja,35,0.3333333333333333
478,deltaeducacional,23,0.22916666666666666
479,deltaeducacional,24,0.2638888888888889
480,deltaeducacional,25,0.23333333333333334
481,deltaeducacional,26,0.18798076923076923
482,deltaeducacional,32,0.25
483,deltaeducacional,33,0.08333333333333333
484,deltaeducacional,34,0.10769230769230768
485,deltaeducacional,35,0.0
486,dommga,25,0.0
487,eacorcovado,23,0.7416666666666667
488,eacorcovado,24,0.875
489,eacorcovado,25,1.0
490,eacorcovado,31,1.0
491,eacorcovado,32,1.0
492,eacorcovado,33,0.3333333333333333
493,eacorcovado,35,0.0
494,eccos,24,1.0
495,eccos,25,0.8571428571428571
496,eccos,26,1.0
497,eccos,31,1.0
498,eccos,32,0.9722222222222222
499,eccos,33,1.0
500,eccos,34,0.9444444444444444
501,eccos,35,0.5
502,educamais,32,0.0
503,educamais,33,0.0
504,educamais,34,0.0
505,educandarioterciocorreia,23,0.5
506,educandarioterciocorreia,24,0.9629629629629631
507,educandarioterciocorreia,25,0.9761904761904762
508,educandarioterciocorreia,26,1.0
509,educandarioterciocorreia,31,1.0
510,educandarioterciocorreia,32,1.0
511,educandarioterciocorreia,33,0.91875
512,educandarioterciocorreia,34,0.9583333333333333
513,educandarioterciocorreia,35,1.0
514,educarse,29,0.1111111111111111
515,educarse,30,0.0
516,educarse,31,0.0
517,educarse,32,0.0
518,educarse,33,0.0
519,einsteinassis,23,0.66
520,einsteinassis,24,0.8571428571428571
521,einsteinassis,25,0.85
522,einsteinassis,31,0.0
523,einsteinassis,32,0.25
524,einsteinassis,35,0.0
525,elitecuritibaemilianoperneta,23,1.0
526,elitecuritibaemilianoperneta,24,1.0
527,elitecuritibaemilianoperneta,25,0.8636363636363636
528,elitecuritibaemilianoperneta,26,0.9166666666666666
529,elitecuritibaemilianoperneta,31,0.5
530,elitecuritibaemilianoperneta,32,0.5
531,elitecuritibaemilianoperneta,34,0.25
532,eluneonline,26,1.0
533,eluneonline,27,1.0
534,eluneonline,32,0.5
535,escolaceciliameireles,23,0.5
536,escolaceciliameireles,24,0.5
537,escolaceciliameireles,25,0.0
538,escolaceciliameireles,26,0.6666666666666666
539,escolaceciliameireles,27,0.6666666666666666
540,escolaceciliameireles,28,0.5
541,escolaceciliameireles,29,0.0
542,escolaceciliameireles,30,1.0
543,escolaceciliameireles,31,0.3333333333333333
544,escolaceciliameireles,32,0.4666666666666666
545,escolaceciliameireles,33,0.5
546,escolaceciliameireles,35,0.0
547,escolajardimdasnacoes,24,0.5
548,escolajardimdasnacoes,25,0.0
549,escolamaster,23,0.6933333333333332
550,escolamaster,24,1.0
551,escolamaster,25,0.8
552,escolamaster,26,0.5
553,escolamaster,27,1.0
554,escolamaster,31,1.0
555,esperanza,34,0.0
556,esperanza,35,0.0
557,estantemagica,31,0.0
558,estantemagica,32,0.0
559,estantemagica,35,0.0
560,faculdadeflamingo,23,0.9487179487179488
561,faculdadeflamingo,24,0.9615384615384616
562,faculdadeflamingo,25,0.9411764705882353
563,faculdadeflamingo,26,0.8333333333333334
564,faculdadeflamingo,30,1.0
565,faculdadeflamingo,31,0.75
566,faculdadeflamingo,32,1.0
567,faculdadeflamingo,33,0.8
568,faculdadeflamingo,34,0.6666666666666666
569,faculdadeflamingo,35,0.6825396825396824
570,franciscopinto,34,0.0
571,galois,28,0.0
572,garra,23,1.0
573,garra,24,0.5925925925925927
574,garra,30,0.4722222222222222
575,garra,31,0.265625
576,garra,35,0.0
577,gerabixo,24,1.0
578,gerabixo,25,0.0
579,gerabixo,28,0.0
580,gerabixo,32,0.0
581,gerabixo,33,1.0
582,gerabixo,35,0.0
583,goncalomartins,30,0.0
584,informacao,30,0.0
585,insa,23,0.28846153846153844
586,insa,24,0.1357142857142857
587,insa,25,0.619047619047619
588,insa,26,0.4236111111111111
589,insa,33,0.16360544217687073
590,insa,34,0.125
591,institutoauxiliadoradf,34,0.0
592,institutocristao,23,1.0
593,institutocristao,24,0.9814814814814814
594,institutocristao,25,0.8
595,institutocristao,26,0.9166666666666666
596,institutocristao,32,0.0
597,institutocristao,34,0.8333333333333333
598,institutoeurofarma,23,0.5
599,institutoeurofarma,24,1.0
600,institutoeurofarma,34,0.0
601,integra,23,1.0
602,integra,24,1.0
603,integra,25,1.0
604,integra,34,0.8461538461538461
605,integradaeducativa,23,1.0
606,integradaeducativa,24,0.9934640522875817
607,integradaeducativa,25,1.0
608,integradaeducativa,26,1.0
609,integradaeducativa,27,1.0
610,integradaeducativa,29,1.0
611,integradaeducativa,30,0.9375
612,integradaeducativa,31,1.0
613,integradaeducativa,32,0.7678571428571429
614,integradaeducativa,33,0.6947916666666667
615,integradaeducativa,34,0.580952380952381
616,integradaeducativa,35,0.0
617,invictus,23,0.3722222222222222
618,invictus,24,0.40659340659340654
619,invictus,25,0.5833333333333334
620,invictus,26,0.37661366817068564
621,invictus,27,0.5034013605442177
622,invictus,28,0.59375
623,invictus,32,0.6333333333333333
624,invictus,33,0.5347222222222222
625,invictus,34,0.48148148148148157
626,invictus,35,0.3541666666666667
627,iracemarufino,31,1.0
628,isem,23,1.0
629,isem,24,1.0
630,isem,25,0.7333333333333334
631,isem,26,0.9642857142857143
632,isem,27,0.9696969696969696
633,isem,28,0.9166666666666666
634,isem,30,0.875
635,isem,31,0.8
636,isem,32,0.76
637,isem,34,0.0
638,isem,35,0.27400793650793653
639,itamarati,25,1.0
640,itamarati,31,0.0
641,itamarati,34,1.0
642,itamarati,35,0.0
643,jardimsaopaulo,23,0.5
644,jeanpiaget,25,0.0
645,joaobelem,25,1.0
646,lasalleaguasclaras,33,1.0
647,liessinbarra,25,1.0
648,litteratus,31,0.0
649,litteratus,33,0.3333333333333333
650,magister,24,1.0
651,magister,25,0.0
652,magister,30,0.875
653,magister,31,1.0
654,magister,32,0.8047619047619047
655,magister,33,0.7285714285714285
656,magister,35,0.0
657,manoelbatista,24,1.0
658,manoelbatista,35,0.0
659,maplebearslz,23,0.5323529411764706
660,maplebearslz,24,0.797220323536113
661,maplebearslz,25,0.8703703703703705
662,maplebearslz,26,0.4583333333333333
663,maplebearslz,30,0.5595238095238095
664,maplebearslz,31,0.7580782312925172
665,maplebearslz,32,0.6827380952380951
666,maplebearslz,33,0.8053418803418804
667,maplebearslz,34,0.7571428571428571
668,maplebearslz,35,0.2037037037037037
669,mariliamattoso,23,0.9404761904761905
670,mariliamattoso,24,0.9435897435897437
671,mariliamattoso,25,0.9375
672,mariliamattoso,26,0.8453703703703703
673,mariliamattoso,27,0.875
674,mariliamattoso,28,0.75
675,mariliamattoso,29,0.8888888888888888
676,mariliamattoso,30,0.859090909090909
677,mariliamattoso,31,0.8571428571428571
678,mariliamattoso,32,0.9090909090909091
679,mariliamattoso,33,0.869047619047619
680,mariliamattoso,34,0.8823529411764706
681,mariliamattoso,35,0.5448717948717949
682,minhalista,24,0.5
683,minhalista,25,0.75
684,minhalista,26,0.8
685,minhalista,32,0.0
686,moaciralves,33,1.0
687,moaciralves,34,1.0
688,monsenhorgoncalo,30,0.0
689,monsenhorgoncalo,32,0.0
690,murilorocha,31,0.5
691,murilorocha,32,1.0
692,navegasas,26,1.0
693,navegasas,27,1.0
694,navegasas,33,0.0
695,novotempo,24,0.0
696,nucleocriativo,23,0.9285714285714286
697,nucleocriativo,24,0.9548611111111112
698,nucleocriativo,25,0.9813664596273293
699,nucleocriativo,32,1.0
700,nucleocriativo,34,0.8523809523809524
701,nucleocriativo,35,0.7178571428571429
702,objetivolorena,23,0.8051724137931034
703,objetivolorena,24,0.7685185185185185
704,objetivolorena,25,0.7261904761904763
705,objetivolorena,26,0.8628205128205129
706,objetivolorena,30,0.0
707,objetivolorena,31,0.5
708,objetivolorena,32,0.917948717948718
709,objetivolorena,33,0.8405797101449275
710,objetivolorena,34,0.6530864197530865
711,objetivolorena,35,0.4333333333333333
712,objetivoteresina,28,1.0
713,oficinadoestudante,23,1.0
714,oficinadoestudante,24,1.0
715,overabelcabral,23,0.8518518518518519
716,overabelcabral,24,0.9636554621848741
717,overabelcabral,25,0.8334523809523808
718,overabelcabral,26,0.8366666666666666
719,overabelcabral,27,0.0
720,overabelcabral,28,0.375
721,overabelcabral,29,0.5
722,overabelcabral,30,0.3333333333333333
723,overabelcabral,31,0.6590909090909091
724,overabelcabral,32,0.9285714285714286
725,overabelcabral,33,0.7307692307692307
726,overabelcabral,34,0.5997106481481481
727,overabelcabral,35,0.3974358974358974
728,overjoaopessoa,23,0.47916666666666663
729,overjoaopessoa,24,0.8573232323232323
730,overjoaopessoa,25,0.7825396825396826
731,overjoaopessoa,26,0.5238095238095238
732,overjoaopessoa,32,0.5
733,overjoaopessoa,33,0.625
734,overjoaopessoa,34,0.7
735,overjoaopessoa,35,0.125
736,overlimaesilva,23,1.0
737,overlimaesilva,24,1.0
738,overlimaesilva,25,1.0
739,overlimaesilva,26,1.0
740,overlimaesilva,31,0.5
741,overlimaesilva,32,1.0
742,overlimaesilva,33,0.9166666666666666
743,overlimaesilva,34,0.9356060606060606
744,overlimaesilva,35,0.9523809523809524
745,overmarciliofurtado,23,0.9545454545454546
746,overmarciliofurtado,24,0.8024436090225564
747,overmarciliofurtado,25,0.8302469135802468
748,overmarciliofurtado,26,0.5503246753246753
749,overmarciliofurtado,27,0.125
750,overmarciliofurtado,28,0.42857142857142855
751,overmarciliofurtado,29,0.42857142857142855
752,overmarciliofurtado,30,1.0
753,overmarciliofurtado,31,0.6291666666666667
754,overmarciliofurtado,32,0.7333333333333334
755,overmarciliofurtado,33,0.5361111111111111
756,overmarciliofurtado,34,0.5333333333333333
757,overmarciliofurtado,35,0.2777777777777778
758,overmossoro,23,0.75
759,overmossoro,24,0.9242424242424243
760,overmossoro,25,0.92
761,overmossoro,26,0.953125
762,overmossoro,30,1.0
763,overmossoro,31,0.6875
764,overmossoro,32,0.8095238095238094
765,overmossoro,33,0.5714285714285714
766,overmossoro,34,0.8571428571428571
767,overmossoro,35,0.5555555555555556
768,overnascimentodecastro,25,0.0
769,overnascimentodecastro,27,0.3333333333333333
770,overpontanegra,23,0.9555555555555555
771,overpontanegra,24,0.9226190476190477
