,namespace,Semana,Porcentagem de engajamento em AAs
945,physicscidadenova,33,0.7667963166118148
199,ceespacolivre,25,0.7660357518401683
552,crescercampinas,32,0.7657165169855525
1238,villalobos,26,0.7652232746955345
502,colegiouniverso,32,0.7640449438202247
329,colegiodasamericas,31,0.7631578947368421
448,colegiomundial,29,0.7625
370,colegioensitec,34,0.7613636363636364
791,master,29,0.7605893186003683
1235,villalobos,23,0.7585877862595419
116,aescobjetivo,31,0.7559194367119698
1187,stellamarisjuveve,24,0.7532053657452012
730,invictus,34,0.7530064754856615
762,maplebearslz,23,0.7524972253052165
1220,universitariolondrina,32,0.7521484169953657
213,cem,34,0.7505285412262156
705,institutosaojose,34,0.75
465,colegiopremium,23,0.7489669421487604
468,colegiopremium,26,0.7457827759692217
1008,portinari,35,0.744270205066345
547,crescercampinas,24,0.7434360140583006
1035,prismapatrocinio,33,0.743280356580073
1018,porto,34,0.7421281421281422
1029,prismapatrocinio,26,0.7400390918658848
616,eccos,32,0.7363957597173145
525,contemporaneocidadeverde,32,0.7360823407560849
469,colegiopremium,31,0.7350993377483444
1196,stellamarisjuveve,35,0.7341369496065628
978,plannetataboao,28,0.7328706570916638
695,insa,34,0.7312035448827902
785,master,23,0.7304941073709147
1010,porto,24,0.7274969953823771
268,colegioarena,34,0.7256715103478644
775,mariliamattoso,26,0.7252021701300031
613,eccos,25,0.7215657311669128
1026,prismapatrocinio,23,0.7212972883870435
819,objetivolorena,23,0.721015741698265
25,acessocampolargo,24,0.7203328509406657
754,macvest,32,0.7192982456140351
95,acessosjpinhais,31,0.7138443715002897
1,acessoalmirantetamandare,24,0.7125867195242814
454,colegioplanck,23,0.7113007651559741
923,physicsalmirantebarroso,23,0.7102307949072528
1034,prismapatrocinio,32,0.7083290168859422
918,physicsalcindocacela,24,0.7078039927404719
1245,villalobos,35,0.7077710563052583
388,colegiofuturageracao,35,0.7072072072072072
1234,universobarcarena,35,0.7071837584591358
1190,stellamarisjuveve,27,0.7068965517241379
538,crb,25,0.7029940119760479
341,colegioecursoprogressao,23,0.7028557657549103
899,overpontanegra,32,0.7020564323290291
752,macvest,26,0.7017543859649122
643,elitecuritibaemilianoperneta,26,0.7010869565217391
1030,prismapatrocinio,27,0.7007910656119125
902,overpontanegra,35,0.7005707715681846
513,conexaosaber,23,0.6975213013168087
204,ceespacolivre,33,0.6970684039087948
724,invictus,25,0.6954887218045113
956,physicsmacapa,33,0.691515074418013
5,acessoalmirantetamandare,30,0.6907216494845361
641,elitecuritibaemilianoperneta,24,0.6893280632411067
966,pioxi,25,0.6882051282051282
1177,spdacruz,34,0.6862745098039216
418,colegiointegral,28,0.6855553585675028
936,physicsbatistacampos,24,0.6843501326259946
147,apogeustoantonio2,34,0.6818181818181818
933,physicsaugustomontenegro,33,0.6812427737096439
898,overpontanegra,31,0.6784495700832537
400,colegioguilhermedealmeida,33,0.6781314168377823
551,crescercampinas,31,0.6776372769790404
603,domus,33,0.6764705882352942
18,acessoboqueirao,30,0.6737477368738685
219,ceprimeiromundo,27,0.673442122339918
78,acessosantafelicidade,25,0.6732618750458851
1211,universitariolondrina,23,0.6714604479033444
524,contemporaneocidadeverde,31,0.6710820895522388
1011,porto,25,0.6708687207220931
269,colegioarena,35,0.6690433749257279
784,mariliamattoso,35,0.6685180167976158
1027,prismapatrocinio,24,0.6681694876399343
220,ceprimeiromundo,28,0.6675929474894595
145,apogeustoantonio2,31,0.6666666666666666
49,acessofazendariogrande,30,0.6666666666666666
761,magister,33,0.6666666666666666
