,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
233,franciscoperes,5,0.0
234,exato,3,0.0
235,fame,2,0.0
236,famacanguarn,1,0.0
237,faculdadeflamingo,63,0.0
238,faculdadeamadeus,21,0.0
239,externatocrespo,1,0.0
240,experimente,1,0.0
241,experimentacaogratuita,4,0.0
242,excelente,1,0.0
243,evolucao,4,0.0
244,franciscolobo,1,0.0
245,evdl,9,0.0
246,evangelicobetel,1,0.0
247,evangelicagoianesia,3,0.0
248,evangelhosimples,1,0.0
249,evangcriancafeliz,3,0.0
250,euquerotchu,1,0.0
251,etepsjc,1,0.0
252,estreladedavi,2,0.0
253,fariabrito,1,0.0
254,fazeducacao,3,0.0
255,fecap,1,0.0
256,felipemanoelcampos,1,0.0
257,franciscanopioxii,3,0.0
258,forumcultural,3,0.0
259,formacao,8,0.0
260,fontenova,3,0.0
261,florence,1,0.0
262,fleming,1,0.0
263,fito,3,0.0
264,fisicainloco,2,0.0
265,fisicadf,1,0.0
266,fisica,2,0.0
267,finalizandabagaca,1,0.0
268,filipegoncalves,1,0.0
269,filgueiras,1,0.0
270,fiep,1,0.0
271,fide,3,0.0
272,fernaogaivota,2,0.0
273,fepcrato,3,0.0
274,iegcolegioecurso,1,0.0
275,ienec,1,0.0
276,iescamp,1,0.0
277,ivv,1,0.0
278,jeanpiaget,2,0.0
279,jeanjacquesrousseau,1,0.0
280,jazzvestibular,7,0.0
281,java,1,0.0
282,jardimaprender,1,0.0
283,janainadias,1,0.0
284,jam,1,0.0
285,jaimekratz,1,0.0
286,itamarati,88,0.0
287,iracilvianunes,10,0.0
288,itamarataizes,2,0.0
289,italo,2,0.0
290,ita,2,0.0
291,isj,1,0.0
292,isemear,1,0.0
293,isem,37,0.0
294,isec,1,0.0
295,isadoralemos,1,0.0
296,jesusmariajose,6,0.0
297,jeucnovageracao,1,0.0
298,jlinstvve,4,0.0
299,joaobelem,20,0.0
300,josesoares,6,0.0
301,josepinheiro,20,0.0
302,josepiaulino,29,0.0
303,josepaulino,31,0.0
304,josemelo,26,0.0
305,overzonanorte,46,0.0
306,joseflorencio,4,0.0
307,josecabral,2,0.0
308,jorgeaugusto,1,0.0
309,joracycruz,2,0.0
310,joaoxxiii,40,0.0
311,joaosampaio,34,0.0
312,joaorosa,11,0.0
313,joaopedrodealmeida,5,0.0
314,joaohmendonca,3,0.0
315,joaogoulartjp,2,0.0
316,joaoferreira,10,0.0
317,isaacnewtonsp,2,0.0
318,iracemarufino,10,0.0
319,iesementes,1,0.0
320,inspira,2,0.0
321,institutocristaoeducacao,1,0.0
322,institutocristao,11,0.0
323,institutocaminhar,19,0.0
324,institutoauxiliadoradf,4,0.0
325,institutoauxiliadora,2,0.0
326,inspiresjc,2,0.0
327,inspire,7,0.0
328,inspiracao,1,0.0
329,insa,15,0.0
330,ipresbiterianocf,1,0.0
331,informacao,29,0.0
332,imundoideal,1,0.0
333,implantacaoremota,6,0.0
334,imeducacao,1,0.0
335,imaculada,2,0.0
336,igmk,2,0.0
337,igd,4,0.0
338,ieveralucia,1,0.0
339,institutoeducacaosp,2,0.0
340,institutoeurofarma,3,0.0
341,institutoideia,30,0.0
342,institutokairos,13,0.0
343,ipetucurui,2,0.0
344,ipesimonton,3,0.0
345,iperesende,3,0.0
346,ipepirai,2,0.0
347,ipenilopolis,3,0.0
348,ipemg,3,0.0
349,ipec,2,0.0
350,ipdhsolucoes,25,0.0
351,ipcabofrio,2,0.0
352,invictus,18,0.0
353,invertida,411,0.0
354,integradotatui,1,0.0
355,integradaeducativa,30,0.0
356,integra,31,0.0
